y,x1,x2,x3,x4,x5,u
22.27,0.5,-0.14,0.65,1.52,-0.23,22.27
11.790000000000001,-0.23,1.58,0.77,-0.47,0.54,11.790000000000001
-9.089999999999998,-0.46,-0.47,0.24,-1.91,-1.72,-9.089999999999998
-7.68,-0.56,-1.01,0.31,-0.91,-1.41,-7.68
0.5200000000000014,1.47,-0.23,0.07,-1.42,-0.54,0.5200000000000014
-5.589999999999998,0.11,-1.15,0.38,-0.6,-0.29,-5.589999999999998
11.87,-0.6,1.85,-0.01,-1.06,0.82,11.87
3.4499999999999993,-1.22,0.21,-1.96,-1.33,0.2,3.4499999999999993
15.439999999999998,0.74,0.17,-0.12,-0.3,-1.48,15.439999999999998
6.4399999999999995,-0.72,-0.46,1.06,0.34,-1.76,6.4399999999999995
14.670000000000003,0.32,-0.39,-0.68,0.61,1.03,14.670000000000003
9.629999999999999,0.93,-0.84,-0.31,0.33,0.98,9.629999999999999
0.1700000000000026,-0.48,-0.19,-1.11,-1.2,0.81,0.1700000000000026
12.06,1.36,-0.07,1.0,0.36,-0.65,12.06
42.88,0.36,1.54,-0.04,1.56,-2.62,42.88
18.470000000000002,0.82,0.09,-0.3,0.09,-1.99,18.470000000000002
2.759999999999999,-0.22,0.36,1.48,-0.52,-0.81,2.759999999999999
7.419999999999998,-0.5,0.92,0.33,-0.53,0.51,7.419999999999998
17.370000000000005,0.1,0.97,-0.7,-0.33,-0.39,17.370000000000005
3.2699999999999996,-1.46,0.3,0.26,0.01,-0.23,3.2699999999999996
-2.8000000000000003,-1.42,-0.42,-0.34,-0.8,-0.16,-2.8000000000000003
27.95,0.4,1.89,0.17,0.26,-0.07,27.95
27.22,-1.92,-0.03,0.06,2.46,-0.19,27.22
23.269999999999996,0.3,-0.03,-1.17,1.14,0.75,23.269999999999996
-14.689999999999998,0.79,-0.91,1.4,-1.4,0.59,-14.689999999999998
13.4,2.19,-0.99,-0.57,0.1,-0.5,13.4
17.28,-1.55,0.07,-1.06,0.47,-0.92,17.28
19.76,1.55,-0.78,-0.32,0.81,-1.23,19.76
30.320000000000004,0.23,1.31,-1.61,0.18,0.26,30.320000000000004
11.1,0.78,-1.24,-1.32,0.52,0.3,11.1
19.440000000000005,0.25,0.35,-0.68,0.23,0.29,19.440000000000005
9.450000000000005,-0.71,1.87,0.47,-1.19,0.66,9.450000000000005
-0.6899999999999995,-0.97,0.79,1.16,-0.82,0.96,-0.6899999999999995
7.539999999999999,0.41,0.82,1.9,-0.25,-0.75,7.539999999999999
3.6700000000000004,-0.89,-0.82,-0.08,0.34,0.28,3.6700000000000004
-3.46,0.83,0.01,1.45,-0.26,2.72,-3.46
15.120000000000001,0.63,-0.86,-1.07,0.48,-0.22,15.120000000000001
11.61,0.71,0.47,-0.07,-0.85,-1.51,11.61
2.8900000000000006,-0.45,0.86,0.21,-1.25,0.17,2.8900000000000006
6.199999999999999,0.39,-0.88,0.15,0.06,-1.14,6.199999999999999
22.369999999999997,0.36,0.56,1.08,1.05,-1.38,22.369999999999997
5.769999999999999,-0.94,0.52,0.51,0.52,3.85,5.769999999999999
21.57,0.57,1.14,0.95,0.65,-0.32,21.57
2.750000000000001,0.76,-0.77,-0.24,-0.49,0.08,2.750000000000001
-14.030000000000001,2.31,-1.87,0.69,-1.61,-0.47,-14.030000000000001
10.309999999999999,1.09,0.06,-1.08,-0.72,0.68,10.309999999999999
0.1899999999999995,-0.73,0.22,0.05,-0.65,2.14,0.1899999999999995
-11.939999999999998,0.63,-2.03,0.19,-0.66,0.85,-11.939999999999998
12.48,-0.79,-0.11,0.5,0.87,-1.2,12.48
24.63,-0.33,-0.47,-0.65,1.77,0.4,24.63
15.29,-1.26,0.92,2.12,1.03,-1.52,15.29
24.69,-0.48,1.27,-0.71,0.44,0.77,24.69
16.250000000000004,-0.93,-0.06,-3.24,-1.02,-0.25,16.250000000000004
23.219999999999995,-1.25,1.63,-1.43,-0.44,0.13,23.219999999999995
-1.9499999999999993,1.44,-1.44,1.16,0.01,-0.98,-1.9499999999999993
18.39,0.46,0.2,-0.6,0.07,-0.39,18.39
-8.760000000000002,0.11,0.66,1.59,-1.24,2.13,-8.760000000000002
2.7600000000000007,-1.95,-0.15,0.59,0.28,-0.62,2.7600000000000007
15.329999999999997,-0.21,-0.49,-0.59,0.85,0.36,15.329999999999997
20.609999999999996,-0.69,0.9,0.31,0.81,0.63,20.609999999999996
3.8099999999999996,-0.83,-0.56,0.75,0.61,-0.02,3.8099999999999996
27.9,0.12,1.28,-0.59,0.55,-0.2,27.9
19.66,-0.22,1.1,0.83,0.81,1.31,19.66
19.19,0.02,0.68,-0.31,0.32,-0.13,19.19
40.03000000000001,0.1,0.6,-0.82,2.09,-1.01,40.03000000000001
16.02,-1.21,1.16,0.79,0.62,0.63,16.02
-4.709999999999999,-0.01,-0.9,0.08,-0.68,0.98,-4.709999999999999
9.32,-0.15,-0.83,-0.32,0.41,-0.56,9.32
4.610000000000001,-0.82,0.24,0.24,-0.51,-0.47,4.610000000000001
-0.9199999999999999,0.23,-1.45,-1.41,-0.72,-0.21,-0.9199999999999999
19.069999999999997,0.31,1.48,0.86,-0.16,-0.02,19.069999999999997
12.829999999999998,-1.0,-0.02,-0.29,0.32,-0.83,12.829999999999998
26.570000000000004,0.52,1.53,-0.11,0.4,0.69,26.570000000000004
12.95,-0.4,0.22,0.01,0.1,-0.77,12.95
12.150000000000002,0.02,0.5,1.45,0.96,2.15,12.150000000000002
34.08,-0.77,0.87,0.18,2.19,-0.81,34.08
10.030000000000001,-0.84,-0.6,-2.12,-0.53,-0.76,10.030000000000001
12.48,0.15,0.34,1.88,0.95,-0.58,12.48
30.93,-0.9,0.49,-1.32,1.83,1.18,30.93
-14.31,-0.47,-1.71,1.35,-0.11,1.24,-14.31
2.7299999999999995,-1.59,-0.6,0.01,0.05,-0.45,2.7299999999999995
5.059999999999999,0.62,-1.07,-0.14,0.12,0.51,5.059999999999999
20.679999999999996,0.71,-1.12,-1.53,1.28,0.33,20.679999999999996
30.029999999999994,-0.75,1.55,0.12,1.18,0.07,30.029999999999994
37.94,2.06,1.76,-0.25,0.97,0.65,37.94
17.040000000000003,1.37,-0.96,0.69,1.06,-1.76,17.040000000000003
-6.03,-1.18,-2.04,-0.27,0.72,1.5,-6.03
13.969999999999999,0.07,1.63,-1.38,-1.7,-0.06,13.969999999999999
23.040000000000003,0.38,-0.03,-2.07,-0.09,-1.3,23.040000000000003
18.2,0.67,0.37,-0.94,-0.51,-1.06,18.2
29.009999999999998,-0.06,0.96,-0.99,0.5,-0.53,29.009999999999998
10.399999999999999,-0.79,-0.11,-1.04,-0.55,-1.2,10.399999999999999
22.81,1.96,0.04,-0.7,0.21,-0.11,22.81
8.809999999999999,-0.22,0.61,0.76,-0.53,-0.58,8.809999999999999
7.410000000000004,-0.28,-2.3,-1.52,1.37,1.64,7.410000000000004
37.82,-0.25,0.58,0.31,3.08,1.12,37.82
12.3,-0.13,-0.96,-1.61,0.2,-0.76,12.3
20.389999999999997,-1.42,-0.65,-1.08,1.69,0.88,20.389999999999997
10.630000000000003,-0.01,1.48,0.08,-0.86,1.52,10.630000000000003
-1.9099999999999993,0.54,-1.04,-0.19,-0.88,-1.38,-1.9099999999999993
42.41,0.93,1.91,-1.4,0.56,-0.65,42.41
9.219999999999999,-0.49,-0.59,-0.86,0.05,-0.83,9.219999999999999
3.58,0.27,-0.05,-0.24,-0.91,-0.58,3.58
20.58,0.76,0.5,-0.98,0.1,0.75,20.58
20.26,-1.67,0.54,-0.66,0.57,-0.76,20.26
-4.55,-1.8,-1.63,0.05,0.26,-0.9,-4.55
-10.6,0.64,-1.66,-0.07,-1.21,-0.65,-10.6
16.42,0.05,-0.86,-0.38,1.01,-0.58,16.42
19.73,0.84,-1.13,0.53,1.44,-2.47,19.73
15.77,-0.8,0.58,-0.2,0.37,-0.6,15.77
5.710000000000001,0.09,-0.16,1.17,0.25,0.34,5.710000000000001
